date,time,age,confirmed,deceased
2020.4.9,0,0s,128,0
2020.4.9,0,10s,552,0
2020.4.9,0,20s,2844,0
2020.4.9,0,30s,1109,1
2020.4.9,0,40s,1394,3
2020.4.9,0,50s,1917,13
2020.4.9,0,60s,1314,27
2020.4.9,0,70s,692,60
2020.4.9,0,80s,473,100
2020.4.10,0,0s,129,0
2020.4.10,0,10s,553,0
2020.4.10,0,20s,2851,0
2020.4.10,0,30s,1113,1
2020.4.10,0,40s,1396,3
2020.4.10,0,50s,1920,13
2020.4.10,0,60s,1320,28
2020.4.10,0,70s,694,62
2020.4.10,0,80s,474,101
2020.4.11,0,0s,130,0
2020.4.11,0,10s,558,0
2020.4.11,0,20s,2856,0
2020.4.11,0,30s,1115,1
2020.4.11,0,40s,1399,3
2020.4.11,0,50s,1926,14
2020.4.11,0,60s,1327,29
2020.4.11,0,70s,694,63
2020.4.11,0,80s,475,101
2020.4.12,0,0s,130,0
2020.4.12,0,10s,561,0
2020.4.12,0,20s,2869,0
2020.4.12,0,30s,1120,1
2020.4.12,0,40s,1400,3
2020.4.12,0,50s,1930,14
2020.4.12,0,60s,1330,31
2020.4.12,0,70s,697,63
2020.4.12,0,80s,475,102
2020.4.13,0,0s,132,0
2020.4.13,0,10s,562,0
2020.4.13,0,20s,2879,0
2020.4.13,0,30s,1122,1
2020.4.13,0,40s,1401,3
2020.4.13,0,50s,1932,14
2020.4.13,0,60s,1335,32
2020.4.13,0,70s,698,64
2020.4.13,0,80s,476,103
2020.4.14,0,0s,132,0
2020.4.14,0,10s,565,0
2020.4.14,0,20s,2886,0
2020.4.14,0,30s,1126,1
2020.4.14,0,40s,1405,3
2020.4.14,0,50s,1935,14
2020.4.14,0,60s,1338,33
2020.4.14,0,70s,700,65
2020.4.14,0,80s,477,106
2020.4.15,0,0s,132,0
2020.4.15,0,10s,569,0
2020.4.15,0,20s,2895,0
2020.4.15,0,30s,1131,1
2020.4.15,0,40s,1408,3
2020.4.15,0,50s,1937,14
2020.4.15,0,60s,1339,33
2020.4.15,0,70s,702,68
2020.4.15,0,80s,478,106
2020.4.16,0,0s,135,0
2020.4.16,0,10s,572,0
2020.4.16,0,20s,2900,0
2020.4.16,0,30s,1132,1
2020.4.16,0,40s,1410,3
2020.4.16,0,50s,1940,14
2020.4.16,0,60s,1341,33
2020.4.16,0,70s,703,68
2020.4.16,0,80s,480,110
2020.4.17,0,0s,136,0
2020.4.17,0,10s,576,0
